text,label
"Easy Money Typist

Earn $5000 a week working just 2 hours a day from your laptop! We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. No background checks required. Start tomorrow.",1
"Immediate Hire - No Experience

Immediate start available! No experience needed, full training provided. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Reply with your personal email and bank name to begin.",1
"Customer Support Specialist

Join our fast-growing company and make an impact. Must be willing to work on-site in our downtown office. Please submit your resume and cover letter on our website.",0
"Accountant

An exciting opportunity for a seasoned professional. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Easy Money Typist

Immediate start available! No experience needed, full training provided. Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Customer Support Specialist

An exciting opportunity for a seasoned professional. Proficiency in Microsoft Office suite is preferred. We value diversity and ensure equal opportunities.",0
"Immediate Hire - No Experience

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. Act fast, spots are limited!",1
"Project Manager

We are looking for a dedicated professional to join our team. Must be willing to work on-site in our downtown office. Comprehensive health benefits and 401k provided.",0
"Customer Support Specialist

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. We value diversity and ensure equal opportunities.",0
"Customer Support Specialist

An exciting opportunity for a seasoned professional. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Warehouse Assistant $$

Urgent hire for remote positions. Guaranteed high salary. This role requires an upfront processing fee of $50 to secure your spot. Act fast, spots are limited!",1
"Project Manager

An exciting opportunity for a seasoned professional. Strong communication skills and attention to detail are required. Comprehensive health benefits and 401k provided.",0
"Warehouse Assistant $$

Urgent hire for remote positions. Guaranteed high salary. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Text our hiring manager on WhatsApp to secure this position.",1
"Easy Money Typist

Looking for people who want to make quick money working from home. You must purchase your own equipment via our approved vendor using wire transfer. Act fast, spots are limited!",1
"Accountant

An exciting opportunity for a seasoned professional. A bachelor's degree in a related field is mandatory. Apply through our official company portal.",0
"Sales Representative

We are hiring! Come be a part of our innovative team. Must be willing to work on-site in our downtown office. Please submit your resume and cover letter on our website.",0
"Accountant

We are hiring! Come be a part of our innovative team. Strong communication skills and attention to detail are required. Comprehensive health benefits and 401k provided.",0
"Data Entry Clerk - WORK FROM HOME

Urgent hire for remote positions. Guaranteed high salary. This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Sales Representative

We are hiring! Come be a part of our innovative team. A bachelor's degree in a related field is mandatory. We value diversity and ensure equal opportunities.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. Send us your banking details immediately so we can process your payroll setup. No background checks required. Start tomorrow.",1
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. No background checks required. Start tomorrow.",1
"Easy Money Typist

Immediate start available! No experience needed, full training provided. You must purchase your own equipment via our approved vendor using wire transfer. Reply with your personal email and bank name to begin.",1
"Accountant

We are hiring! Come be a part of our innovative team. Strong communication skills and attention to detail are required. Apply through our official company portal.",0
"Easy Money Typist

Earn $5000 a week working just 2 hours a day from your laptop! This role requires an upfront processing fee of $50 to secure your spot. No background checks required. Start tomorrow.",1
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. This role requires an upfront processing fee of $50 to secure your spot. Act fast, spots are limited!",1
"Software Engineer

We are hiring! Come be a part of our innovative team. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Data Analyst

Join our fast-growing company and make an impact. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Remote Assistant - High Pay

Earn $5000 a week working just 2 hours a day from your laptop! This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Software Engineer

We are looking for a dedicated professional to join our team. Must be willing to work on-site in our downtown office. Comprehensive health benefits and 401k provided.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. This role requires an upfront processing fee of $50 to secure your spot. Act fast, spots are limited!",1
"Remote Assistant - High Pay

Looking for people who want to make quick money working from home. Payment is made via Western Union or cryptocurrency weekly. Act fast, spots are limited!",1
"Accountant

Join our fast-growing company and make an impact. Requires 3+ years of experience in a similar role. We value diversity and ensure equal opportunities.",0
"Remote Assistant - High Pay

Immediate start available! No experience needed, full training provided. You must purchase your own equipment via our approved vendor using wire transfer. No background checks required. Start tomorrow.",1
"Sales Representative

An exciting opportunity for a seasoned professional. A bachelor's degree in a related field is mandatory. We value diversity and ensure equal opportunities.",0
"Project Manager

We are hiring! Come be a part of our innovative team. Strong communication skills and attention to detail are required. Comprehensive health benefits and 401k provided.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. This role requires an upfront processing fee of $50 to secure your spot. Reply with your personal email and bank name to begin.",1
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Act fast, spots are limited!",1
"Immediate Hire - No Experience

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. No background checks required. Start tomorrow.",1
"Warehouse Assistant $$

Immediate start available! No experience needed, full training provided. You must purchase your own equipment via our approved vendor using wire transfer. No background checks required. Start tomorrow.",1
"HR Manager

We are hiring! Come be a part of our innovative team. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Project Manager

An exciting opportunity for a seasoned professional. Must be willing to work on-site in our downtown office. Apply through our official company portal.",0
"Software Engineer

Join our fast-growing company and make an impact. Strong communication skills and attention to detail are required. Please submit your resume and cover letter on our website.",0
"Easy Money Typist

Immediate start available! No experience needed, full training provided. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Text our hiring manager on WhatsApp to secure this position.",1
"Sales Representative

We are hiring! Come be a part of our innovative team. Proficiency in Microsoft Office suite is preferred. Please submit your resume and cover letter on our website.",0
"Project Manager

Join our fast-growing company and make an impact. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. This role requires an upfront processing fee of $50 to secure your spot. Reply with your personal email and bank name to begin.",1
"Remote Assistant - High Pay

Looking for people who want to make quick money working from home. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Reply with your personal email and bank name to begin.",1
"Accountant

We are looking for a dedicated professional to join our team. Requires 3+ years of experience in a similar role. We value diversity and ensure equal opportunities.",0
"Data Analyst

Join our fast-growing company and make an impact. Strong communication skills and attention to detail are required. Comprehensive health benefits and 401k provided.",0
"Software Engineer

An exciting opportunity for a seasoned professional. Requires 3+ years of experience in a similar role. Comprehensive health benefits and 401k provided.",0
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. Payment is made via Western Union or cryptocurrency weekly. No background checks required. Start tomorrow.",1
"HR Manager

We are hiring! Come be a part of our innovative team. Proficiency in Microsoft Office suite is preferred. Please submit your resume and cover letter on our website.",0
"Project Manager

We are hiring! Come be a part of our innovative team. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Warehouse Assistant $$

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. Text our hiring manager on WhatsApp to secure this position.",1
"Data Analyst

We are hiring! Come be a part of our innovative team. Proficiency in Microsoft Office suite is preferred. We value diversity and ensure equal opportunities.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. Send us your banking details immediately so we can process your payroll setup. Act fast, spots are limited!",1
"Remote Assistant - High Pay

Earn $5000 a week working just 2 hours a day from your laptop! This role requires an upfront processing fee of $50 to secure your spot. Reply with your personal email and bank name to begin.",1
"Sales Representative

An exciting opportunity for a seasoned professional. Requires 3+ years of experience in a similar role. We value diversity and ensure equal opportunities.",0
"Accountant

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Remote Assistant - High Pay

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. No background checks required. Start tomorrow.",1
"Marketing Manager

An exciting opportunity for a seasoned professional. Must be willing to work on-site in our downtown office. Apply through our official company portal.",0
"Accountant

Join our fast-growing company and make an impact. A bachelor's degree in a related field is mandatory. Comprehensive health benefits and 401k provided.",0
"Immediate Hire - No Experience

Earn $5000 a week working just 2 hours a day from your laptop! Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Remote Assistant - High Pay

Earn $5000 a week working just 2 hours a day from your laptop! Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Immediate Hire - No Experience

Urgent hire for remote positions. Guaranteed high salary. You must purchase your own equipment via our approved vendor using wire transfer. Reply with your personal email and bank name to begin.",1
"Accountant

Join our fast-growing company and make an impact. Requires 3+ years of experience in a similar role. Comprehensive health benefits and 401k provided.",0
"HR Manager

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Sales Representative

An exciting opportunity for a seasoned professional. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Sales Representative

We are looking for a dedicated professional to join our team. Must be willing to work on-site in our downtown office. Comprehensive health benefits and 401k provided.",0
"Remote Assistant - High Pay

Looking for people who want to make quick money working from home. Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Remote Assistant - High Pay

Immediate start available! No experience needed, full training provided. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Act fast, spots are limited!",1
"Marketing Manager

An exciting opportunity for a seasoned professional. Strong communication skills and attention to detail are required. We value diversity and ensure equal opportunities.",0
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. Send us your banking details immediately so we can process your payroll setup. Reply with your personal email and bank name to begin.",1
"Data Analyst

Join our fast-growing company and make an impact. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Accountant

An exciting opportunity for a seasoned professional. Must be willing to work on-site in our downtown office. Apply through our official company portal.",0
"Marketing Manager

We are looking for a dedicated professional to join our team. Strong communication skills and attention to detail are required. Please submit your resume and cover letter on our website.",0
"Immediate Hire - No Experience

Immediate start available! No experience needed, full training provided. This role requires an upfront processing fee of $50 to secure your spot. No background checks required. Start tomorrow.",1
"Marketing Manager

An exciting opportunity for a seasoned professional. Strong communication skills and attention to detail are required. Apply through our official company portal.",0
"HR Manager

We are looking for a dedicated professional to join our team. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Software Engineer

Join our fast-growing company and make an impact. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Warehouse Assistant $$

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. Text our hiring manager on WhatsApp to secure this position.",1
"Warehouse Assistant $$

Immediate start available! No experience needed, full training provided. Send us your banking details immediately so we can process your payroll setup. Text our hiring manager on WhatsApp to secure this position.",1
"Sales Representative

Join our fast-growing company and make an impact. Requires 3+ years of experience in a similar role. We value diversity and ensure equal opportunities.",0
"Customer Support Specialist

An exciting opportunity for a seasoned professional. Strong communication skills and attention to detail are required. Please submit your resume and cover letter on our website.",0
"Customer Support Specialist

We are hiring! Come be a part of our innovative team. Strong communication skills and attention to detail are required. We value diversity and ensure equal opportunities.",0
"Data Entry Clerk - WORK FROM HOME

Looking for people who want to make quick money working from home. Payment is made via Western Union or cryptocurrency weekly. Reply with your personal email and bank name to begin.",1
"Data Entry Clerk - WORK FROM HOME

Earn $5000 a week working just 2 hours a day from your laptop! You must purchase your own equipment via our approved vendor using wire transfer. Act fast, spots are limited!",1
"Warehouse Assistant $$

Earn $5000 a week working just 2 hours a day from your laptop! This role requires an upfront processing fee of $50 to secure your spot. Act fast, spots are limited!",1
"Easy Money Typist

Urgent hire for remote positions. Guaranteed high salary. Payment is made via Western Union or cryptocurrency weekly. Reply with your personal email and bank name to begin.",1
"Sales Representative

Join our fast-growing company and make an impact. Must be willing to work on-site in our downtown office. Apply through our official company portal.",0
"Data Entry Clerk - WORK FROM HOME

Immediate start available! No experience needed, full training provided. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Text our hiring manager on WhatsApp to secure this position.",1
"Accountant

An exciting opportunity for a seasoned professional. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Marketing Manager

We are looking for a dedicated professional to join our team. Strong communication skills and attention to detail are required. We value diversity and ensure equal opportunities.",0
"Warehouse Assistant $$

Earn $5000 a week working just 2 hours a day from your laptop! Payment is made via Western Union or cryptocurrency weekly. Text our hiring manager on WhatsApp to secure this position.",1
"Immediate Hire - No Experience

Earn $5000 a week working just 2 hours a day from your laptop! You must purchase your own equipment via our approved vendor using wire transfer. No background checks required. Start tomorrow.",1
"Sales Representative

We are looking for a dedicated professional to join our team. Strong communication skills and attention to detail are required. We value diversity and ensure equal opportunities.",0
"Remote Assistant - High Pay

Urgent hire for remote positions. Guaranteed high salary. Payment is made via Western Union or cryptocurrency weekly. No background checks required. Start tomorrow.",1
"Immediate Hire - No Experience

Urgent hire for remote positions. Guaranteed high salary. This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Customer Support Specialist

We are looking for a dedicated professional to join our team. Requires 3+ years of experience in a similar role. Comprehensive health benefits and 401k provided.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. You must purchase your own equipment via our approved vendor using wire transfer. Text our hiring manager on WhatsApp to secure this position.",1
"Sales Representative

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. Please submit your resume and cover letter on our website.",0
"Project Manager

An exciting opportunity for a seasoned professional. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Data Entry Clerk - WORK FROM HOME

Immediate start available! No experience needed, full training provided. This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Data Entry Clerk - WORK FROM HOME

Looking for people who want to make quick money working from home. Payment is made via Western Union or cryptocurrency weekly. No background checks required. Start tomorrow.",1
"Data Entry Clerk - WORK FROM HOME

Urgent hire for remote positions. Guaranteed high salary. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Reply with your personal email and bank name to begin.",1
"Accountant

We are hiring! Come be a part of our innovative team. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Immediate Hire - No Experience

Looking for people who want to make quick money working from home. You must purchase your own equipment via our approved vendor using wire transfer. Reply with your personal email and bank name to begin.",1
"Remote Assistant - High Pay

Earn $5000 a week working just 2 hours a day from your laptop! This role requires an upfront processing fee of $50 to secure your spot. Text our hiring manager on WhatsApp to secure this position.",1
"Marketing Manager

Join our fast-growing company and make an impact. Proficiency in Microsoft Office suite is preferred. Please submit your resume and cover letter on our website.",0
"Marketing Manager

We are looking for a dedicated professional to join our team. Must be willing to work on-site in our downtown office. Apply through our official company portal.",0
"Marketing Manager

We are hiring! Come be a part of our innovative team. Must be willing to work on-site in our downtown office. We value diversity and ensure equal opportunities.",0
"HR Manager

We are looking for a dedicated professional to join our team. Requires 3+ years of experience in a similar role. Please submit your resume and cover letter on our website.",0
"Easy Money Typist

Immediate start available! No experience needed, full training provided. This role requires an upfront processing fee of $50 to secure your spot. No background checks required. Start tomorrow.",1
"Immediate Hire - No Experience

Immediate start available! No experience needed, full training provided. You must purchase your own equipment via our approved vendor using wire transfer. Reply with your personal email and bank name to begin.",1
"Customer Support Specialist

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. Comprehensive health benefits and 401k provided.",0
"Data Analyst

We are looking for a dedicated professional to join our team. Proficiency in Microsoft Office suite is preferred. Apply through our official company portal.",0
"Sales Representative

We are looking for a dedicated professional to join our team. A bachelor's degree in a related field is mandatory. Comprehensive health benefits and 401k provided.",0
"Data Entry Clerk - WORK FROM HOME

Immediate start available! No experience needed, full training provided. This role requires an upfront processing fee of $50 to secure your spot. Act fast, spots are limited!",1
"Data Entry Clerk - WORK FROM HOME

Immediate start available! No experience needed, full training provided. We require a remote interview via Telegram. Please install Telegram and contact @hr_recruiter. Reply with your personal email and bank name to begin.",1
